de, of / from
la, the (fem.)
que, that / what / which
el, the (masc.)
en, in / on
y, and
a, to / at
los, the (masc. pl.)
del, of the
se, reflexive pronoun
las, the (fem. pl.)
por, for / by
un, a / an
para, for / to
con, with
no, no
una, a / an
su, his / her / your / their
es, is
al, to the
lo, him / it / the
como, how / like / as
pero, but
más, more
su, his / her
yo, I
qué, what
si, if / yes
todo, all / everything
me, me
ya, already
muy, very
esto, this
hay, there is / there are
ahora, now
nada, nothing
tú, you
nos, us
está, is
cuando, when
sin, without
sobre, on / about
ser, to be
puede, can / may
porque, because
esta, this
hacer, to do / to make
dos, two
aquí, here
vez, time
ver, to see
ella, she
ni, nor
bien, well
tiempo, time
parece, seems
entre, between
ese, that
mis, my (pl.)
después, after
así, thus / so
donde, where
parte, part
desde, from
eso, that
solo, alone / only
mismo, same
uno, one
hoy, today
año, year
antes, before
mejor, better
nuevo, new
decir, to say
vida, life
casa, house
grande, big
cada, each
otro, other
mundo, world
forma, form / way
trabajo, work
tanto, so much
hombre, man
agua, water
pasado, past
poco, little
tres, three
noche, night
querer, to want
ejemplo, example
llevar, to carry / to wear
persona, person
saber, to know
según, according to
menos, less
mucho, much
cosa, thing
siempre, always
creer, to believe
hablar, to speak
poder, power / to be able
verdad, truth
casi, almost
mientras, while
dar, to give
tipo, type
punto, point
momento, moment
bueno, good
tarde, late / afternoon
mujer, woman
gobierno, government
gran, great
país, country
deben, they must
estos, these
grupo, group
cuenta, account
personas, people
hace, ago / does
medio, half / middle
nuestro, our
nueva, new
tan, so / as
estado, state
embargo, however
fin, end
poder, power / can
tienen, they have
bajo, under / low
mujeres, women
problema, problem
obras, works
lugar, place
tipos, types
horas, hours
mano, hand
ciudad, city
manera, way
noches, nights
idea, idea
aguas, waters
largo, long
campo, field
problemas, problems
jamás, never
sistema, system
ejemplos, examples
mañana, morning / tomorrow
quien, who
nombre, name
hecho, fact / done
vida, life
estudio, study
salud, health
dinero, money
tierra, land / earth
meses, months
nivel, level
cambio, change
momento, moment
caso, case
formas, forms
servicio, service
puntos, points
actividad, activity
uso, use
niños, children
cielo, sky
empresa, company
programa, program
información, information
papel, paper
relación, relation
zona, zone
sociedad, society
proceso, process
obra, work / play
sector, sector
ley, law
cuerpo, body
educación, education
paso, step / pass
seguridad, security
derecho, right / law
realidad, reality
proyecto, project
pueblo, people / town
situación, situation
producción, production
desarrollo, development
mercado, market
serie, series
condiciones, conditions
ayuda, help
familia, family
historia, history
padre, father
centro, center
facultad, faculty / power
acciones, actions
resto, rest
figura, figure
base, base
movimiento, movement
acción, action
modo, mode
partido, party / match
madre, mother
edad, age
importante, important
